received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:43:03,AD8901,,,,,,,,,,1574872983
2019-11-27 16:44:34,AD8901,SKW5755,41.974509999999995,-87.90550999999999,,,,,,,1574873074
2019-11-27 16:45:54,AD8901,SKW5755,41.97452,-87.90550999999999,,,,,,,1574873154
2019-11-27 16:46:09,AD8901,SKW5755,41.974509999999995,-87.90549,,,,,,,1574873169
2019-11-27 16:46:49,AD8901,SKW5755,41.97442,-87.90515,,,,,,,1574873209
2019-11-27 16:46:50,AD8901,SKW5755,41.97442,-87.90514,,,,,,,1574873210
2019-11-27 16:46:51,AD8901,SKW5755,41.97442,-87.90514,,,,,,,1574873211
2019-11-27 16:46:59,AD8901,SKW5755,41.97442,-87.90505999999999,,,,,,,1574873219
2019-11-27 16:47:04,AD8901,SKW5755,41.97441,-87.90503000000001,,,,,,,1574873224
2019-11-27 16:47:06,AD8901,SKW5755,41.97442,-87.90501,,,,,,,1574873226
2019-11-27 16:47:07,AD8901,SKW5755,41.97442,-87.90501,,,,,,,1574873227
2019-11-27 16:47:08,AD8901,SKW5755,41.97442,-87.90501,,,,,,,1574873228
2019-11-27 16:47:09,AD8901,SKW5755,,,,,,,,,1574873229
2019-11-27 16:47:11,AD8901,SKW5755,41.97442,-87.90498000000001,,,,,,,1574873231
2019-11-27 16:47:12,AD8901,SKW5755,41.97443,-87.90498000000001,,,,,,,1574873232
2019-11-27 16:47:17,AD8901,SKW5755,41.97446,-87.90495,,,,,,,1574873237
2019-11-27 16:47:18,AD8901,SKW5755,41.97445,-87.90495,,,,,,,1574873238
2019-11-27 16:47:19,AD8901,SKW5755,41.97446,-87.90494,,,,,,,1574873239
2019-11-27 16:47:29,AD8901,SKW5755,41.97446,-87.90494,,,,,,,1574873249
2019-11-27 16:47:30,AD8901,SKW5755,41.97445,-87.90495,,,,,,,1574873250
2019-11-27 16:47:30,AD8901,SKW5755,41.97446,-87.90494,,,,,,,1574873250
2019-11-27 16:47:41,AD8901,SKW5755,41.974470000000004,-87.90495,,,,,,,1574873261
2019-11-27 16:48:26,AD8901,SKW5755,41.974470000000004,-87.90495,,,,,,,1574873306
2019-11-27 16:48:46,AD8901,SKW5755,41.974470000000004,-87.90495,,,,,,,1574873326
2019-11-27 16:48:56,AD8901,SKW5755,41.97446,-87.90495,,,,,,,1574873336
2019-11-27 16:49:01,AD8901,SKW5755,41.97446,-87.90494,,,,,,,1574873341
2019-11-27 16:49:04,AD8901,SKW5755,,,,,,,,,1574873344
2019-11-27 16:49:06,AD8901,SKW5755,41.97446,-87.90494,,,,,,,1574873346
2019-11-27 16:49:11,AD8901,SKW5755,41.97445,-87.90495,,,,,,,1574873351
2019-11-27 16:49:21,AD8901,SKW5755,41.97445,-87.90495,,,,,,,1574873361
2019-11-27 16:49:31,AD8901,SKW5755,41.97446,-87.90495,,,,,,,1574873371
2019-11-27 16:49:36,AD8901,SKW5755,41.97445,-87.90495,,,,,,,1574873376
2019-11-27 16:49:51,AD8901,SKW5755,41.97446,-87.90495,,,,,,,1574873391
2019-11-27 16:50:06,AD8901,SKW5755,41.974340000000005,-87.90493000000001,,,,,,,1574873406
2019-11-27 16:50:07,AD8901,SKW5755,41.974309999999996,-87.90493000000001,,,,,,,1574873407
2019-11-27 16:50:09,AD8901,SKW5755,41.97429,-87.90494,,,,,,,1574873409
2019-11-27 16:50:11,AD8901,SKW5755,41.97424,-87.90494,,,,,,,1574873411
2019-11-27 16:50:13,AD8901,SKW5755,41.97419,-87.90493000000001,,,,,,,1574873413
2019-11-27 16:50:16,AD8901,SKW5755,41.97412,-87.90491999999999,,,,,,,1574873416
2019-11-27 16:50:26,AD8901,SKW5755,41.9738,-87.90491999999999,,,,,,,1574873426
2019-11-27 16:50:33,AD8901,SKW5755,,,,,,,,,1574873433
2019-11-27 16:50:38,AD8901,SKW5755,,,,,,,,,1574873438
2019-11-27 16:50:39,AD8901,SKW5755,41.97341,-87.90491999999999,,,,,,,1574873439
2019-11-27 16:50:41,AD8901,SKW5755,41.97335,-87.90491999999999,,,,,,,1574873441
2019-11-27 16:50:42,AD8901,SKW5755,41.97334,-87.90491999999999,,,,,,,1574873442
2019-11-27 16:50:45,AD8901,SKW5755,41.973259999999996,-87.90491999999999,,,,,,,1574873445
2019-11-27 16:50:49,AD8901,SKW5755,41.97319,-87.90491999999999,,,,,,,1574873449
2019-11-27 16:50:50,AD8901,SKW5755,41.97316,-87.90491999999999,,,,,,,1574873450
2019-11-27 16:50:50,AD8901,SKW5755,41.97316,-87.90491999999999,,,,,,,1574873450
2019-11-27 16:50:51,AD8901,SKW5755,41.97314,-87.90491999999999,,,,,,,1574873451
2019-11-27 16:50:54,AD8901,SKW5755,41.97307,-87.90491999999999,,,,,,,1574873454
2019-11-27 16:50:56,AD8901,SKW5755,41.97302,-87.90491999999999,,,,,,,1574873456
2019-11-27 16:50:58,AD8901,SKW5755,41.973,-87.90491999999999,,,,,,,1574873458
2019-11-27 16:50:59,AD8901,SKW5755,41.97298,-87.90491999999999,,,,,,,1574873459
2019-11-27 16:51:01,AD8901,SKW5755,41.97294,-87.90491999999999,,,,,,,1574873461
2019-11-27 16:51:10,AD8901,SKW5755,41.972770000000004,-87.90491999999999,,,,,,,1574873470
2019-11-27 16:51:11,AD8901,SKW5755,41.97275,-87.90491999999999,,,,,,,1574873471
2019-11-27 16:51:19,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873479
2019-11-27 16:51:35,AD8901,SKW5755,41.97272,-87.90491999999999,,,,,,,1574873495
2019-11-27 16:51:48,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873508
2019-11-27 16:51:58,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873518
2019-11-27 16:51:58,AD8901,SKW5755,,,,,,,,,1574873518
2019-11-27 16:52:13,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873533
2019-11-27 16:52:18,AD8901,SKW5755,,,,,,,,,1574873538
2019-11-27 16:52:42,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873562
2019-11-27 16:53:02,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873582
2019-11-27 16:53:17,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873597
2019-11-27 16:53:18,AD8901,SKW5755,,,,,,,,,1574873598
2019-11-27 16:53:28,AD8901,SKW5755,,,,,,,,,1574873608
2019-11-27 16:54:03,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873643
2019-11-27 16:54:13,AD8901,SKW5755,41.97273,-87.90491999999999,,,,,,,1574873653
2019-11-27 16:54:56,AD8901,SKW5755,41.97251,-87.90491999999999,,,,,,,1574873696
2019-11-27 16:55:01,AD8901,SKW5755,41.97238,-87.90493000000001,,,,,,,1574873701
2019-11-27 16:55:02,AD8901,SKW5755,41.972359999999995,-87.90494,,,,,,,1574873702
2019-11-27 16:55:03,AD8901,SKW5755,,,,,,,,,1574873703
2019-11-27 16:55:12,AD8901,SKW5755,41.97215,-87.90525,,,,,,,1574873712
2019-11-27 16:55:14,AD8901,SKW5755,41.97215,-87.90536,,,,,,,1574873714
2019-11-27 16:55:19,AD8901,SKW5755,41.97215,-87.90565,,,,,,,1574873719
2019-11-27 16:55:28,AD8901,SKW5755,,,,,,,,,1574873728
2019-11-27 16:55:33,AD8901,SKW5755,41.97222,-87.90659000000001,,,,,,,1574873733
2019-11-27 16:55:33,AD8901,SKW5755,,,,,,,,,1574873733
2019-11-27 16:55:33,AD8901,SKW5755,41.972229999999996,-87.90661999999999,,,,,,,1574873733
2019-11-27 16:55:41,AD8901,SKW5755,41.97231,-87.90706,,,,,,,1574873741
2019-11-27 16:55:43,AD8901,SKW5755,,,,,,,,,1574873743
2019-11-27 16:55:46,AD8901,SKW5755,41.972429999999996,-87.9074,,,,,,,1574873746
2019-11-27 16:55:51,AD8901,SKW5755,41.972570000000005,-87.90768,,,,,,,1574873751
2019-11-27 16:55:52,AD8901,SKW5755,41.9726,-87.90774,,,,,,,1574873752
2019-11-27 16:56:02,AD8901,SKW5755,41.973,-87.90833,,,,,,,1574873762
2019-11-27 16:56:02,AD8901,SKW5755,41.97302,-87.90836999999999,,,,,,,1574873762
2019-11-27 16:56:03,AD8901,SKW5755,,,,,,,,,1574873763
2019-11-27 16:56:03,AD8901,SKW5755,41.97307,-87.90843000000001,,,,,,,1574873763
2019-11-27 16:56:04,AD8901,SKW5755,41.9731,-87.90848000000001,,,,,,,1574873764
2019-11-27 16:56:05,AD8901,SKW5755,41.97315,-87.90854,,,,,,,1574873765
2019-11-27 16:56:06,AD8901,SKW5755,41.97318,-87.90857,,,,,,,1574873766
2019-11-27 16:56:06,AD8901,SKW5755,41.9732,-87.90861,,,,,,,1574873766
2019-11-27 16:56:08,AD8901,SKW5755,41.973279999999995,-87.90871,,,,,,,1574873768
2019-11-27 16:56:09,AD8901,SKW5755,41.9733,-87.90874000000001,,,,,,,1574873769
2019-11-27 16:56:09,AD8901,SKW5755,41.97332,-87.90876999999999,,,,,,,1574873769
2019-11-27 16:56:10,AD8901,SKW5755,41.97335,-87.90881,,,,,,,1574873770
2019-11-27 16:56:11,AD8901,SKW5755,41.973420000000004,-87.90889,,,,,,,1574873771
2019-11-27 16:56:12,AD8901,SKW5755,41.973440000000004,-87.90892,,,,,,,1574873772
2019-11-27 16:56:14,AD8901,SKW5755,41.97355,-87.90907,,,,,,,1574873774
2019-11-27 16:56:17,AD8901,SKW5755,41.9737,-87.90926999999999,,,,,,,1574873777
2019-11-27 16:56:18,AD8901,SKW5755,,,,,,,,,1574873778
2019-11-27 16:56:19,AD8901,SKW5755,41.9738,-87.90937,,,,,,,1574873779
2019-11-27 16:56:21,AD8901,SKW5755,41.97388,-87.90948,,,,,,,1574873781
